Name	Diminutive	Gender
Лариса	Ларисочка	femn
Анфиса	Анфисочка	masc
Лара	Ларочка	femn
Толя	Толик	masc
Анатоля	Анатолечка	masc
Маруся	Марусенька	femn
Мария	Мариюшка	femn
Марья	Маруся	femn
Пелагея	Пелагеюшка	femn
Андрей	Андреюшка	masc
Андрон	Андрончик	masc
Матвей	Матвеюшка	masc
Арина	Аринушка	masc
Сабрина	Сабришечка	femn
Дуня	Дунечка	femn
Дуня	Дуняша	femn
Роза	Розочка	femn
Галя	Галечка	femn
Галя	Галюня	femn
Рая	Раечка	neut
Витя	Витечка	masc
Тамара	Тамарочка	femn
Лама	Ламочка	neut
Лампа	Лампочка	femn
Тома	Томик	masc
Тома	Томочка	masc
Камила	Камилочка	masc
Софья	Софочка	femn
Соня	Сонечка	femn
Боря	Боренька	masc
Боря	Борюсик	masc
Таня	Танюшенька	femn
Виталя	Виталик	neut
Оскар	Оскарик	masc
Антон	Антонушка	masc
Антон	Антончик	masc
Антоша	Антошечка	masc
Архип	Архипушка	masc
Авдей	Авдеюшка	masc
Аркаша	Аркашенька	masc
Игорь	Игорёк	masc
Игорь	Игорёчек	masc
Иля	Иленька	femn
Серёжа	Серёженька	femn
Сергей	Сергеюшка	masc
Петр	Петруша	femn
Петруша	Петрушечка	masc
Утя	Утенька	femn
Вова	Вовочка	masc
Гога	Гогочка	masc
Лада	Ладуся	masc
Ося	Осенька	masc
Кирюша	Кирюшечка	masc
Кирилл	Кириллушка	masc
Кира	Кирочка	femn
Жора	Жорочка	masc
Геля	Гелечка	masc
Павла	Павлушка	masc
Павел	Павлик	masc
Павлик	Павлуша	masc
Паша	Пашечка	neut
Паша	Пашулечка	neut
Анна	Аннушка	femn
Эля	Элечка	neut
Эля	Эленька	neut
Луиза	Луизонька	masc
Костя	Костенька	neut
Костя	Костик	neut
Веня	Венечка	masc
Веня	Венюшка	masc
Настя	Настенька	femn
Настя	Настюша	femn
Лёва	Лёвушка	masc
Лёва	Лёвик	masc
Сёва	Сёвочка	femn
Сева	Севочка	masc
Сева	Севушка	masc
Стелла	Стеллик	femn
Элла	Эллочка	femn
Эмма	Эммочка	femn
Эмилия	Эмиленька	masc
Гена	Геночка	masc
Земфира	Земфирочка	femn
Диана	Дианочка	femn
Светлана	Светланочка	femn
Алёна	Алёнушка	femn
Настёна	Настёночка	femn
Иван	Иванушка	masc
Галина	Галиночка	femn
Киса	Кисонька	femn
Киса	Кисуля	femn
Киса	Кисулечка	femn
Маша	Машуленька	femn
Милаша	Милашенька	femn
Тима	Тимочка	masc
Тимофей	Тимофеюшка	masc
Сильва	Сильвушка	femn
Сильвия	Сильвочка	masc
Гера	Герочка	femn
Валера	Валерочка	masc
Вера	Верунчик	femn
Люба	Любочка	femn
Люба	Любушка	femn
Егуня	Егунечка	masc
Гоша	Гошечка	masc
Тимоша	Тимошенька	masc
Геша	Гешенька	masc
Рита	Риточка	femn
Рита	Ритусик	femn
Зинаида	Зинаидушка	femn
Нафаня	Нафанечка	femn
Филя	Филюшка	masc
Маня	Манюня	neut
Маня	Манечка	neut
Влада	Владочка	masc
Лёня	Лёнечка	masc
Лёня	Лёнчик	masc
Аня	Анюта	femn
Таня	Танечка	femn
Нюта	Нюточка	femn
Илья	Ильюша	masc
Гаврила	Гаврилушка	masc
Гаврик	Гаврюша	masc
Орхан	Орханчик	neut
Варя	Варенька	neut
Раиса	Раисочка	masc
Василиса	Василисочка	femn
Миша	Мишулик	masc
Мишуля	Мишулечка	femn
Тоня	Тонечка	femn
Зара	Зарочка	femn
Анжела	Анжелочка	masc
Памела	Памелушка	femn
Яна	Яночка	neut
Уля	Улечка	femn
Лолита	Лолиточка	femn
Адель	Аделечка	femn
Грета	Греточка	femn
Грета	Гретуля	femn
Нинель	Нинеленька	femn
Рахиль	Рахиленька	femn
Инна	Инночка	femn
Соломон	Соломончик	femn
Руслан	Русланчик	femn
Руслана	Русланушка	masc
Султан	Султанчик	masc
Диля	Дилечка	femn
Алевтина	Алевтинушка	masc
Ангелина	Ангелиночка	femn
Фаина	Фаиночка	femn
Сабрина	Сабринушка	femn
Даля	Далечка	neut
Валя	Валенька	femn
Тася	Тасенька	femn
Мася	Масечка	femn
Олеся	Олесечка	masc
Оксана	Оксаночка	femn
Милана	Миланушка	masc
Алла	Аллочка	masc
Ксюша	Ксюшенька	femn
Саломея	Саломеюшка	femn
Майя	Маечка	femn
Стефанида	Стефанидочка	femn
Стёпа	Стёпушка	masc
Клёпа	Клёпочка	masc
Ада	Адочка	neut
Азиза	Азизочка	masc
Анита	Аниточка	masc
Астра	Астрочка	masc
Борислава	Бориславушка	masc
Дина	Диночка	neut
Динара	Динарочка	neut
Елена	Еленочка	femn
Лена	Ленусик	femn
Юнона	Юноночка	femn
Роман	Романчик	femn
Эльза	Эльзочка	femn
Татьяна	Татьяночка	femn
Рената	Ренаточка	neut
Саша	Сашуня	femn
Саша	Сашечка	femn
Анетта	Анетточка	femn
Люся	Люсенька	femn
Катя	Катюша	neut
Патя	Патенька	femn
Илона	Илонушка	femn
Федора	Федорушка	masc
Никита	Никитушка	masc
Злата	Златочка	neut
Маргарита	Маргаритушка	neut
Марк	Маркушечка	masc
Лика	Ликуся	neut
Лапа	Лапочка	femn
Нона	Нонуся	femn
Зина	Зиночка	femn
Элина	Элинушка	femn
Степан	Степанушка	masc
Аврора	Авророчка	neut
Федя	Феденька	masc
Федя	Федюшка	masc
Марья	Марьюшка	femn
Аза	Азочка	neut
Доминика	Доминикушка	masc
Дебора	Деборушка	femn
Евдокия	Евдокиюшка	femn
Агафья	Агафьюшка	femn
Ванда	Вандочка	femn
Виса	Висонька	masc
Зоя	Зоечка	femn
Инга	Ингушка	femn
Лиля	Лилечка	femn
Лилия	Лиленька	femn
Марта	Марточка	neut
Марфа	Марфочка	femn
Марфа	Марфушенька	femn
Неля	Неленька	masc
Тереза	Терезочка	femn
Тала	Талочка	neut
Флора	Флорочка	neut
Глеб	Глебушка	masc
Жорж	Жорженька	masc
Родя	Роденька	neut
Родя	Родик	neut
Федот	Федотик	masc
Фома	Фомушка	masc
Эд	Эдик	femn
Сёма	Сёмик	masc
Оня	Онюшка	femn
Сеня	Сенюшка	masc
Яким	Якимушка	masc
Савва	Саввушка	masc
Максим	Максимушка	masc
Макс	Максик	neut
Агата	Агатушка	neut
Берт	Бертушка	femn
Данила	Данилушка	masc
Лаура	Лаурочка	femn
Мура	Мурик	neut
Тура	Турочка	masc
Ядвига	Ядвигушка	femn
Нюша	Нюшечка	femn
Ляля	Лялечка	femn
Викуся	Викусечка	femn
Марина	Маришенька	masc
Кузя	Кузенька	masc
Вадим	Вадимочка	femn
Катерина	Катериночка	femn
Яся	Ясечка	masc
Митя	Митёк	masc
Рада	Радушка	femn
Лана	Ланушка	neut
Милослава	Милославушка	masc
Филипп	Филиппушка	masc
Виля	Виленька	masc
Милица	Милуся	femn
Ильза	Ильзочка	femn
Наина	Наинушка	neut
Ираида	Ираидушка	femn
Линя	Линечка	masc
Лина	Линушка	femn
Лора	Лорочка	neut
Мурат	Муратушка	masc
Мурат	Муратик	masc
Марат	Маратик	masc
Марат	Маратушка	masc
Булат	Булатушка	masc
Боба	Бобочка	masc
Богдана	Богданочка	masc
Лука	Лукаша	masc
Лука	Луконя	masc
Луня	Лунечка	masc
Кока	Кокочка	masc
Микола	Миколушка	masc
Ефим	Ефимка	masc
Ерёма	Ерёмушка	femn
Фима	Фимуля	masc
Митрофан	Митрофанушка	masc
Проня	Пронюшка	femn
Проша	Прошенька	masc
Потап	Потапушка	masc
Тоха	Тохочка	femn
Миша	Мишутка	masc
Рустам	Рустамушка	masc
Карина	Кариша	femn
Гаша	Гашечка	masc
Агаха	Агахочка	masc
Кристина	Кристя	femn
Серж	Сержик	masc
Андрюха	Андрюша	masc
Санюха	Санюша	masc
Гаврюха	Гаврюшка	neut
Танюха	Танюша	masc
Гуша	Гушенька	masc
Гуля	Гуленька	femn
Самуха	Самуша	femn
Самоха	Самошечка	femn
Тимоха	Тимоша	femn
Мишель	Мишеленька	femn
Николь	Николечка	femn
Руся	Русечка	femn
Вадя	Вадечка	masc
Водя	Водечка	femn
Варфоломей	Варфоломеюшка	masc
Вара	Варушка	masc
Витёша	Витёшечка	femn
Тора	Торушка	neut
Викта	Викточка	masc
Вишута	Вишуточка	masc
Витяха	Витяша	femn
Витяша	Витяшечка	masc
Витюха	Витюша	femn
Валюха	Валюша	femn
Вака	Вакуша	masc
Андря	Андречка	neut
Афоня	Афонечка	masc
Тюня	Тюнечка	masc
Артюха	Артюшенька	masc
Артя	Артенька	femn
Матя	Матечка	masc
Митюша	Митюшечка	masc
Матей	Матеюшка	femn
Мира	Мирушка	neut
Михай	Михайка	neut
Миня	Минечка	masc
Миха	Миша	neut
Горя	Горенька	neut
Иляха	Иляша	masc
Иваха	Иваша	masc
Люня	Люнечка	neut
Люля	Люленька	neut
Степаша	Степашечка	masc
Степуха	Степуша	femn
Марго	Маргоша	neut
Любава	Любавушка	femn
Макар	Макарушка	masc
Сюня	Сюнечка	masc
Ксеша	Ксешечка	masc
Маря	Маречка	masc
Рена	Реночка	masc
Матрёха	Матрёша	masc
Мотя	Мотенька	femn
Юся	Юсечка	femn
Юстя	Юстечка	masc
Марфута	Марфуточка	masc
Марфуха	Марфуша	femn
Марга	Маргуня	femn
Туся	Тусенька	femn
Ритуша	Ритушенька	neut
Мага	Магонька	masc
Ритоха	Ритоша	femn
Алюня	Алюнюшка	neut
Ела	Елочка	femn
Гелина	Гелиночка	masc
Веруха	Веруша	femn
Веруля	Веруленька	femn
Ида	Идочка	femn
Арюха	Арюшечка	neut
Фёкла	Фёклушка	femn
Флёра	Флёрочка	masc
Фева	Февочка	masc
Лиана	Лианочка	femn
Тамуна	Тамуночка	femn
Енюха	Енюша	masc
Тата	Таточка	masc
Танюта	Танютенька	femn
Тая	Таюшка	femn
Дора	Дорочка	femn
Ина	Инуля	femn
Кируша	Кирушечка	masc
Яра	Ярочка	neut
Инга	Ингочка	femn
Ава	Авочка	masc
Клаша	Клашечка	masc
Клаха	Клаша	masc
Мося	Мосенька	neut
Ия	Иечка	femn
Ия	Иенька	femn
Ия	Июшка	femn
Зося	Зосечка	femn
Лизута	Лизуточка	masc
Лиза	Лизуша	femn
Вета	Веточка	femn
Пора	Порушка	neut
Параха	Параша	masc
Рима	Римуля	neut
Ока	Окочка	neut
Брина	Бриша	femn
Нита	Ниточка	masc
Нинура	Нинурочка	masc
Нинона	Ниноночка	neut
Ниноха	Ниноша	neut
Оляня	Олянечка	femn
Лёна	Лёночка	neut
Оляша	Оляшенька	masc
Марися	Марисечка	femn
Никуша	Никушенька	neut
Рона	Ронушка	masc
Роня	Ронечка	femn
Варюха	Варюша	neut
Аря	Аречка	femn
Ара	Арочка	masc
Лека	Леконька	neut
Физа	Физочка	neut
Сюта	Сюточка	neut
Васяня	Васянечка	femn
Васа	Васонька	femn
Васеня	Васенечка	neut
Васята	Васяточка	masc
Лекса	Лексонька	masc
Алексаха	Алексаша	masc
Александра	Александрушка	masc
Грипа	Грипонька	neut
Грапа	Грапонька	neut
Груня	Груняша	femn
Буся	Бусечка	femn
Ная	Наечка	femn
Ная	Наюшка	femn
Нана	Наночка	femn
Нета	Нетуля	neut
Ала	Аленька	masc
Натаха	Наташа	masc
Таля	Таленька	neut
Линуша	Линушечка	masc
Виктор	Викторушка	masc
Эдя	Эдечка	femn
Юка	Юконька	femn
Юша	Юшечка	femn
Люка	Люкочка	femn
Юня	Юнечка	femn
Юна	Юночка	femn
Юла	Юлочка	femn
Пана	Паночка	masc
Сона	Сонушка	masc
Дарья	Даруня	femn
Дара	Дарушка	masc
Лёся	Лёсечка	neut
Леся	Лесенька	femn
Елюша	Елюшенька	masc
Еля	Елюшка	femn
Надея	Надеечка	masc
Галатея	Галатеечка	femn
Лёха	Лёша	masc
Надиша	Надишечка	masc
Надюся	Надюсенька	femn
Надя	Надюся	femn
Липа	Липочка	femn
Ися	Исенька	femn
Регина	Регинушка	masc
Фина	Финочка	femn
Хасан	Хасанчик	masc
Енюта	Енютечка	femn
Еняша	Еняшечка	masc
Хавроша	Хаврошечка	masc
Нюня	Нюнечка	neut
Иса	Исонька	masc
Мута	Мутечка	masc
Машука	Машуконька	masc
Иня	Инюшка	femn
Киря	Киренька	femn
Ким	Кимушка	femn
Ким	Кимка	femn
Копа	Копочка	femn
Тиша	Тишечка	masc
Тиха	Тиша	femn
Тихоша	Тихошенька	masc
Труха	Труша	femn
Труша	Трушечка	masc
Трифаха	Трифахочка	masc
Дрон	Дронушка	masc
Зоня	Зонюшка	femn
Денис	Дениска	masc
Гема	Гемочка	masc
Герма	Гермончик	femn
Ротя	Ротяшка	femn
Дорофея	Дорофеечка	masc
Камея	Камеечка	femn
Наиля	Наилечка	masc
Ния	Ниечка	femn
Агния	Агниюшка	femn
Дёма	Дёмочка	masc
Гора	Горочка	masc
Гриня	Гринюшка	femn
Памила	Памилочка	masc
Оливия	Оливушка	femn
Олива	Оливочка	femn
Ива	Ивушка	masc
Дива	Дивочка	neut
Ивета	Иветуля	neut
Ванга	Вангуля	masc
Люха	Люша	femn
Андрей	Андрейка	masc
Фаддей	Фаддейка	masc
Ермолай	Ермолайчик	masc
Исай	Исаюшка	masc
Ермак	Ермакушка	masc
Ермола	Ермолочка	masc
Корней	Корнеюшка	masc
Елисей	Елисеюшка	masc
Моисей	Моисейка	masc
Гордей	Гордейка	masc
Федяха	Федяшечка	femn
Дуся	Дусечка	femn
Славуня	Славунечка	neut
Сива	Сивочка	femn
Сила	Силушка	neut
Селя	Селечка	neut
Митра	Митрушка	femn
Митрюша	Митрюшик	masc
Трофим	Трофимка	masc
Паша	Пашуха	neut
Андря	Андрик	neut
Лёка	Лёкочка	neut
Лега	Леша	masc
Вега	Вежик	femn
Анися	Анисечка	femn
Никиха	Никиша	femn
Мелеша	Мелешечка	masc
Никанор	Никанорушка	masc
Макс	Максюша	neut
Максюта	Максюшенька	neut
Антя	Антечка	femn
Антоха	Антоша	femn
Арса	Арсончик	masc
Арсен	Арсенушка	femn
Стива	Стивуша	masc
Лёля	Лёлик	femn
Лёля	Лёлечка	femn
Бера	Беруня	masc
Авдя	Авденька	masc
Лавр	Лавруша	masc
Лавря	Лавренька	femn
Леон	Леончик	masc
Алексей	Алексейка	masc
Тотя	Тотенька	femn
Натоха	Натоша	femn
Роха	Роша	femn
Сафа	Сафочка	masc
Сашуха	Сашута	femn
Санюра	Санюрчик	femn
Геха	Геша	masc
Доня	Донечка	femn
Созон	Созонушка	masc
Евдя	Евденька	masc
Евдоха	Евдоша	femn
Николаша	Николашенька	masc
Коляха	Коляша	masc
Лидуха	Лидуша	masc
Фая	Фаюшка	masc
Меля	Меленька	femn
Графа	Графуня	masc
Граша	Грашулик	masc
Машуха	Машута	femn
Алевтина	Алевтиночка	masc
Вадя	Вадюха	masc
Купря	Куречка	femn
Вёла	Вёлочка	masc
Варлаха	Варлаша	masc
Пахом	Пахомушка	masc
Светуха	Светуся	femn
Света	Светушка	neut
Света	Светик	neut
Федяха	Федяша	femn
Сера	Серуня	femn
Тимур	Тимурчик	masc
Ляна	Лянушка	neut
Ляна	Лянчик	neut
Таюха	Таюша	femn
Таися	Таисенька	femn
Неся	Несенька	femn
Куня	Кунечка	masc
Гася	Гасечка	femn
Линуха	Линуша	femn
Галя	Галёк	femn
Пиня	Пинечка	femn
Мартин	Мартинушка	masc
Аннуся	Аннусенька	neut
Дия	Диечка	femn
Зая	Заечка	femn
Мика	Микуля	masc
Муша	Мушенька	masc
Марюта	Марюша	femn
Муля	Муленька	neut
Зоюха	Зоюша	femn
Грика	Грикуня	masc
Гришко	Гришконя	masc
Гриха	Гриша	masc
Стеня	Стенюша	masc
Прова	Провик	neut
Вяча	Вяченька	femn
Лодя	Лодик	neut
Клася	Класенька	femn
Митяй	Митяйка	masc
Димаха	Димаша	masc
Генюля	Генюлечка	neut
Генуся	Генусечка	neut
Паня	Панюшка	neut
Эраст	Эрастик	masc
Рося	Росик	femn
Пана	Панулька	masc
Дарья	Дарьечка	femn
Дарья	Дарьюшка	femn
Дарья	Дарёха	femn
Дарёна	Дарёнушка	femn
Даря	Даречка	femn
Ноня	Нонечка	femn
Моря	Морюшка	neut
Гела	Гелюня	masc
Настёха	Настёна	femn
Нида	Нидушка	femn
Аксюха	Аксюта	femn
Рена	Ренуля	masc
Ванесса	Ванессочка	femn
Мелисса	Мелиссонька	femn
Иоланта	Иоланточка	femn
Санта	Сантик	masc
Юзефа	Юзефочка	masc
Юзеф	Юзефик	femn
Амаль	Амаленька	femn
Текла	Теклочка	femn
Трифа	Трифочка	masc
Линда	Линдушка	femn
Магда	Магдочка	femn
Изольда	Изольдушка	femn
Амалия	Амалечка	femn
Амэла	Амэлочка	femn
Еря	Еречка	masc
Дороха	Дорошечка	femn
Зиня	Зинюшка	femn
Клавдя	Клавдюха	masc
Татуля	Татулик	femn
Ульяха	Ульяша	femn
Алана	Аланочка	masc
Дайна	Дайночка	femn
Зарина	Зариночка	femn
Свята	Святик	femn
Адам	Адамчик	neut
Натоля	Натоленька	masc
Николя	Николюшка	masc
Ивона	Ивоночка	masc
Мартина	Мартиночка	masc
Агафа	Агафочка	masc
Катёна	Катёнушка	femn
Измаил	Измаилушка	masc
Никола	Николенька	neut
Лукьян	Лукьянушка	femn
Лукьян	Лукьянчик	femn
Витя	Витёк	masc
Витя	Витюха	masc
Тома	Томушка	masc
Глория	Глоренька	masc
Эрна	Эрночка	femn
Леда	Ледочка	neut
Петя	Петюля	masc
Матя	Матюнечка	masc
Митя	Митюлечка	masc
Ванеса	Ванесочка	masc
Михайло	Михайлушка	masc
Остах	Остахочка	masc
Агля	Аглечка	femn
Руда	Руденька	femn
Раул	Раулочка	masc
Рудя	Рудечка	femn
Ната	Натулечка	masc
Серёня	Серёнчик	neut
Серёня	Серёнечка	neut
Герда	Гердочка	masc
Цезарь	Цезарёк	masc
Вова	Вовчик	masc
Сандра	Сандрочка	femn
Валя	Валюша	femn
Слава	Славчик	femn
Надя	Надёна	femn
Рома	Ромик	masc
Еля	Елечка	femn
Арсен	Арсенчик	femn
Артур	Артурчик	masc
Артём	Артёмушка	masc
Артюша	Артюшенька	masc
Борюся	Борюсик	femn
Динара	Динарушка	neut
Макар	Макарчик	masc
Артём	Артёмка	masc
Глеб	Глебка	masc
Валентин	Валентинчик	femn
Марьян	Марьянчик	femn
Марьян	Марьянушка	femn
Теодор	Теодорчик	femn
Даря	Даренька	femn
Алан	Аланчик	masc
Амир	Амирчик	femn
Леван	Леванушка	masc
Леван	Леванчик	masc
Дамир	Дамирушка	femn
Иван	Иванчик	masc
Дарьяна	Дарьянушка	femn
Димон	Димончик	femn
Раул	Раулик	masc
Марга	Маргушечка	femn
Пахом	Пахомчик	masc
Филипп	Филиппок	masc
Потап	Потапик	masc
Паня	Панечка	neut
Орест	Орестик	femn
Максим	Максимка	masc
Вадим	Вадимка	femn
