,0,1
31,Ирина,"['Ириночка', 'Ириша', 'Иришка', 'Иришечка', 'Иринушка']"
32,Ира,"['Ирочка', 'Ирушка', 'Ируля']"
33,Ириша,"['Иришечка', 'Иришенька', 'Иришуля', 'Иришулечка', 'Иришулик', 'Иришуленька', 'Иришутка', 'Иришуточка']"
34,Надя,"['Наденька', 'Надечка', 'Надюха', 'Надюся', 'Надюша', 'Надюшка']"
35,Адя,"['Адюша', 'Адюшка', 'Аденька']"
36,Лида,"['Лидочка', 'Лидочка']"
37,Лиза,"['Лизочка', 'Лизонька', 'Лизуша', 'Лизушка']"
38,Люда,"['Людочка', 'Людусик']"
39,Катя,"['Катенька', 'Катюха', 'Катюша']"
40,Надюха,['Надюша']
41,Рома,"['Ромочка', 'Ромик']"
42,Яша,"['Яшенька', 'Яшечка']"
43,Миша,"['Мишенька', 'Мишечка', 'Мишуля', 'Мишулечка', 'Мишулик', 'Мишуленька', 'Мишутка', 'Мишуточка', 'Мишулик', 'Мишутка']"
44,Гриша,"['Гришенька', 'Гришечка', 'Гришуля', 'Гришулечка', 'Гришулик', 'Гришуленька', 'Гришутка', 'Гришуточка']"
45,Юра,"['Юрочка', 'Юрик', 'Юрчик']"
46,Артём,"['Артёмчик', 'Артёмушка']"
47,Тёма,"['Тёмочка', 'Тёмушка']"
48,Влад,['Владик']
49,Слава,"['Славик', 'Славочка', 'Славушка']"
50,Бронислава,"['Брониславочка', 'Брониславушка']"
51,Гоша,"['Гошечка', 'Гошенька']"
52,Егор,['Егорушка']
53,Таня,"['Танюшка', 'Танюшенька', 'Танюшечка', 'Танюша', 'Танечка']"
54,Рина,['Ришенька']
55,Арина,"['Аришка', 'Аринушка', 'Аринуля']"
56,Марина,"['Мариша', 'Мариночка', 'Маришенька', 'Маришечка']"
57,Римма,['Риммочка']
58,Маша,"['Машечка', 'Машуля', 'Машулечка', 'Машулик', 'Машуленька', 'Машутка', 'Машуточка', 'Машуленька']"
59,Кристина,"['Кристюля', 'Кристёна', 'Кристя']"
60,Кристя,"['Кристик', 'Кристюля', 'Кристюша']"
61,Нина,"['Нинуся', 'Нинуленька', 'Нинуля', 'Ниночка']"
62,Вера,"['Верочка', 'Верунчик', 'Веруня']"
63,Митя,"['Митенька', 'Митечка', 'Митюша', 'Митюха', 'Митёк', 'Митюлечка', 'Митюленька', 'Митюля']"
64,Тося,"['Тосечка', 'Тосенька']"
65,Кеша,"['Кешенька', 'Кешунчик', 'Кешуня']"
66,Дима,['Димочка']
67,Николай,['Николаюшка']
68,Юля,"['Юлечка','Юленочек']"
69,Лариса,"['Ларисочка', 'Ларисуля']"
70,Анфиса,['Анфисочка']
71,Лара,['Ларочка']
72,Толя,"['Толик', 'Толечка', 'Толенька', 'Толюшка']"
73,Анатоля,"['Анатолечка', 'Анатолик', 'Анатоленька', 'Анатолюшка']"
74,Маруся,"['Марусенька', 'Марусечка', 'Марусик', 'Марусюшка']"
75,Мария,"['Маруся', 'Марьюшка']"
76,Пелагея,['Пелагеюшка']
77,Андрон,['Андрончик']
78,Матвей,['Матвеюшка']
79,Сабрина,"['Сабришечка', 'Сабринушка']"
80,Дуня,"['Дунечка', 'Дуняша']"
81,Роза,"['Розочка', 'Розушка']"
82,Галя,"['Галечка', 'Галюня', 'Галёк']"
83,Рая,"['Раечка', 'Раюшка']"
84,Тамара,['Тамарочка']
85,Лама,"['Ламочка', 'Ламушка']"
86,Лампа,['Лампочка']
87,Тома,"['Томик', 'Томочка', 'Томушка']"
88,Камила,['Камилочка']
89,Софья,['Софочка']
90,Соня,['Сонечка']
91,Боря,"['Боренька', 'Борюсик']"
92,Виталя,['Виталик']
93,Оскар,"['Оскарик', 'Оскарик']"
94,Антон,"['Антоша', 'Антончик']"
95,Антоша,['Антошечка']
96,Архип,['Архипушка']
97,Авдей,['Авдеюшка']
98,Аркаша,"['Аркашенька', 'Аркашуля', 'Аркашулечка', 'Аркашулик', 'Аркашуленька', 'Аркашутка', 'Аркашуточка']"
99,Игорь,"['Игорёк', 'Игорёчек']"
100,Иля,['Иленька']
101,Серёжа,['Серёженька']
102,Сергей,"['Сергеюшка', 'Сергеюша']"
103,Петр,"['Петруша', 'Петрушка']"
104,Петруша,"['Петрушечка', 'Петрушенька']"
105,Утя,"['Утенька', 'Утечка']"
106,Вова,['Вовочка']
107,Гога,['Гогочка']
108,Лада,"['Ладуся', 'Ладочка', 'Ладонька', 'Ладушка']"
109,Ося,"['Осенька', 'Осечка']"
110,Кирюша,"['Кирюшечка', 'Кирюшенька', 'Кирюшик']"
111,Кирилл,['Кириллушка']
112,Кира,['Кирочка']
113,Жора,['Жорочка']
114,Геля,['Гелечка']
115,Павел,['Павлик']
116,Павлик,['Павлуша']
117,Паша,"['Пашечка', 'Пашуля', 'Пашулечка', 'Пашулик', 'Пашуленька', 'Пашутка', 'Пашуточка', 'Пашулечка', 'Пашуха']"
118,Анна,['Аннушка']
119,Эля,"['Элечка', 'Эленька', 'Элюшка']"
120,Луиза,"['Луизонька', 'Луизочка']"
121,Костя,"['Костенька', 'Костик']"
122,Веня,"['Венечка', 'Венюшка']"
123,Настя,"['Настенька', 'Настюша']"
124,Лёва,['Лёвушка']
125,Сёва,['Сёвочка']
126,Сева,"['Севочка', 'Севушка']"
127,Стелла,"['Стеллик', 'Стеллочка']"
128,Элла,['Эллочка']
129,Эмма,['Эммочка']
130,Эмилия,"['Эмиленька', 'Эмилечка']"
131,Гена,['Геночка']
132,Земфира,['Земфирочка']
133,Диана,['Дианочка']
134,Светлана,"['Светланочка', 'Светланушка', 'Светлануся']"
135,Алёна,"['Алёнушка', 'Алёночка']"
136,Настёна,"['Настёночка', 'Настёнушка']"
137,Иван,"['Иванушка', 'Иванчик', 'Ивануля']"
138,Галина,['Галиночка']
139,Киса,"['Кисонька', 'Кисуля', 'Кисулечка']"
140,Милаша,"['Милашенька', 'Милашуля', 'Милашулечка', 'Милашулик', 'Милашуленька', 'Милашутка', 'Милашуточка']"
141,Тима,['Тимочка']
142,Тимофей,"['Тимофеюшка','Тимофейчик']"
143,Сильва,['Сильвушка']
144,Сильвия,['Сильвочка']
145,Гера,['Герочка']
146,Валера,['Валерочка']
147,Люба,"['Любочка', 'Любушка']"
148,Егуня,['Егунечка']
149,Тимоша,['Тимошенька']
150,Геша,['Гешенька']
151,Рита,"['Риточка', 'Ритусик']"
152,Зинаида,['Зинаидушка']
153,Нафаня,"['Нафанечка', 'Нафанюшка']"
154,Филя,['Филюшка']
155,Маня,"['Манюня', 'Манечка']"
156,Влада,['Владонька']
157,Лёня,['Лёнечка']
158,Аня,['Анюта']
159,Нюта,['Нюточка']
160,Илья,['Ильюша']
161,Гаврила,['Гаврилушка']
162,Гаврик,['Гаврюша']
163,Варя,['Варенька']
164,Раиса,['Раисочка']
165,Василиса,['Василисочка']
166,Мишуля,"['Мишулечка', 'Мишуля', 'Мишулик', 'Мишуленька', 'Мишутка', 'Мишуточка']"
167,Тоня,['Тонечка']
168,Зара,['Зарочка']
169,Анжела,['Анжелочка']
170,Памела,['Памелушка']
171,Яна,['Яночка']
172,Уля,['Улечка']
173,Лолита,['Лолиточка']
174,Адель,['Аделечка']
175,Грета,"['Греточка', 'Гретуля']"
176,Нинель,"['Нинеленька', 'Нинелечка']"
177,Рахиль,"['Рахиленька', 'Рахилечка']"
178,Инна,"['Инночка', 'Иннушка', 'Иннуся', 'Иннусик', 'Иннуля']"
179,Соломон,['Соломончик']
180,Руслан,['Русланчик']
181,Руслана,['Русланушка']
182,Султан,"['Султанчик', 'Султанушка']"
183,Диля,"['Дилечка', 'Диленька']"
184,Алевтина,"['Алевтинушка', 'Алевтиночка']"
185,Ангелина,['Ангелиночка']
186,Фаина,"['Фаиночка', 'Фаинушка']"
187,Даля,['Далечка']
188,Валя,['Валенька']
189,Тася,"['Тасенька', 'Тасечка', 'Тасик', 'Тасюшка']"
190,Мася,"['Масечка', 'Масик', 'Масенька', 'Масюшка']"
191,Олеся,['Олесечка']
192,Оксана,"['Оксаночка', 'Оксанушка']"
193,Милана,"['Миланочка', 'Миланушка']"
194,Алла,"['Аллочка', 'Алик']"
195,Ксюша,"['Ксюшенька', 'Ксюшечка']"
196,Саломея,['Саломеюшка']
197,Майя,"['Маечка', 'Маюшка']"
198,Стефанида,['Стефанидочка']
199,Стёпа,"['Стёпушка','Стёпочка']"
200,Клёпа,"['Клёпочка', 'Клёпушка']"
201,Ада,"['Адочка', 'Адушка']"
202,Азиза,['Азизочка']
203,Анита,['Аниточка']
204,Астра,['Астрочка']
205,Борислава,['Бориславушка']
206,Дина,"['Диночка', 'Динушка', 'Динуля']"
207,Динара,['Динарочка']
208,Елена,"['Еленочка', 'Еленушка']"
209,Лена,"['Ленусик','Ленуся','Леночка','Ленушка']"
210,Юнона,['Юноночка']
211,Роман,['Романчик']
212,Эльза,['Эльзочка']
213,Татьяна,"['Татьяночка','Татьянушка']"
214,Рената,"['Ренаточка','Ренатушка']"
215,Саша,"['Сашуня', 'Сашуля', 'Сашулечка', 'Сашулик', 'Сашуленька', 'Сашутка', 'Сашуточка', 'Сашечка']"
216,Анетта,['Анетточка']
217,Люся,"['Люсенька', 'Люсечка']"
218,Патя,"['Патенька', 'Патечка']"
219,Илона,"['Илонушка', 'Илоночка']"
220,Федора,"['Федорушка', 'Федорочка']"
221,Никита,"['Никитушка', 'Никиточка']"
222,Злата,"['Златочка', 'Златушка', 'Златик']"
223,Маргарита,"['Маргаритушка', 'Маргариточка']"
224,Марк,"['Маркушечка', 'Маркушенька', 'Маркуша']"
225,Лика,"['Ликуся', 'Ликушка', 'Ликуша']"
226,Лапа,"['Лапочка','Лапонька','Лапушка']"
227,Нона,"['Нонуся', 'Ноночка']"
228,Зина,"['Зиночка', 'Зинушка']"
229,Элина,"['Элинушка', 'Элиночка']"
230,Степан,['Степанушка']
231,Аврора,['Авророчка']
232,Федя,"['Феденька', 'Федечка', 'Федюшка', 'Федюша']"
233,Марья,"['Марьюшка', 'Маруня', 'Марьюша']"
234,Аза,['Азочка']
235,Доминика,"['Доминикушка', 'Доминикуша']"
236,Дебора,['Деборушка']
237,Евдокия,['Евдокиюшка']
238,Агафья,['Агафьюшка']
239,Ванда,"['Вандочка', 'Вандушка']"
240,Виса,['Висонька']
241,Зоя,"['Зоечка', 'Зоюшка']"
242,Инга,"['Ингушка', 'Ингочка']"
243,Лиля,"['Лилечка', 'Лиленька']"
244,Лилия,"['Лиленька', 'Лилечка']"
245,Марта,['Марточка']
246,Марфа,"['Марфочка', 'Марфушенька', 'Марфуша', 'Марфушка', 'Марфушечка']"
247,Неля,"['Неленька', 'Нелечка', 'Нельчик']"
248,Тереза,['Терезочка']
249,Тала,['Талочка']
250,Флора,['Флорочка']
251,Глеб,['Глебушка']
252,Жорж,['Жорженька']
253,Родя,"['Роденька', 'Родечка', 'Родик']"
254,Федот,"['Федотик', 'Федотушка']"
255,Фома,['Фомушка']
256,Эд,['Эдик']
257,Сёма,"['Сёмик', 'Сёмочка']"
258,Оня,"['Онюшка', 'Онечка']"
259,Сеня,"['Сенюшка', 'Сенечка']"
260,Яким,['Якимушка']
261,Савва,['Саввушка']
262,Максим,['Максимушка']
263,Макс,"['Максик', 'Максюша']"
264,Агата,['Агатушка']
265,Берт,['Бертушка']
266,Данила,['Данилушка']
267,Лаура,['Лаурочка']
268,Мура,"['Мурик', 'Мурочка']"
269,Тура,"['Турочка', 'Турик']"
270,Ядвига,['Ядвигушка']
271,Нюша,"['Нюшечка','Нюшенька']"
272,Ляля,"['Лялечка','Ляленька']"
273,Викуся,"['Викусечка', 'Викусик', 'Викусенька', 'Викусюшка']"
274,Кузя,"['Кузенька','Кузечка']"
275,Вадим,['Вадимочка']
276,Катерина,['Катериночка']
277,Яся,"['Ясечка', 'Ясенька']"
278,Рада,"['Радушка', 'Радусик', 'Радуся', 'Радочка']"
279,Лана,"['Ланусик', 'Лануся', 'Ланушка', 'Ланочка']"
280,Милослава,['Милославушка']
281,Филипп,['Филиппушка']
282,Виля,['Виленька']
283,Милица,['Милуся']
284,Ильза,['Ильзочка']
285,Наина,['Наинушка']
286,Ираида,['Ираидушка']
287,Линя,['Линечка']
288,Лина,['Линушка']
289,Лора,['Лорочка']
290,Мурат,['Муратушка']
291,Марат,['Маратик']
292,Булат,['Булатушка']
293,Боба,['Бобочка']
294,Богдана,['Богданочка']
295,Лука,"['Лукаша', 'Луконя']"
296,Луня,['Лунечка']
297,Кока,['Кокочка']
298,Микола,['Миколушка']
299,Ефим,['Ефимка']
300,Ерёма,"['Ерёмушка', 'Ерёмочка', 'Ерёмчик']"
301,Фима,['Фимуля']
302,Матрофан,['Матрофанушка']
303,Проня,['Пронюшка']
304,Проша,['Прошенька']
305,Потап,['Потапушка']
306,Тоха,['Тохочка']
307,Рустам,['Рустамушка']
308,Карина,['Кариша']
309,Гаша,"['Гашечка', 'Гашуля', 'Гашулечка', 'Гашулик', 'Гашуленька', 'Гашутка', 'Гашуточка']"
310,Агаха,['Агахочка']
311,Серж,['Сержик']
312,Андрюха,['Андрюша']
313,Санюха,['Санюша']
314,Гаврюха,['Гаврюшка']
315,Танюха,['Танюша']
316,Гуша,['Гушенька']
317,Гуля,"['Гуленька', 'Гуля', 'Гулечка', 'Гулик', 'Гутка', 'Гуточка']"
318,Самуха,['Самуша']
319,Самоха,['Самошечка']
320,Тимоха,['Тимоша']
321,Мишель,['Мишеленька']
322,Николь,['Николечка']
323,Руся,"['Русечка', 'Русик', 'Русенька', 'Русюшка']"
324,Вадя,"['Вадечка', 'Вадюха']"
325,Водя,"['Водечка', 'Воденька']"
326,Варфоломей,['Варфоломеюшка']
327,Вара,['Варушка']
328,Витёша,"['Витёшечка', 'Витёшенька']"
329,Тора,['Торушка']
330,Викта,['Викточка']
331,Вишута,['Вишуточка']
332,Витяха,['Витяша']
333,Витяша,"['Витяшечка', 'Витяшенька']"
334,Витюха,['Витюша']
335,Валюха,['Валюша']
336,Вака,"['Вакуша', 'Вакушка']"
337,Андря,"['Андречка', 'Андрик']"
338,Афоня,['Афонечка']
339,Тюня,['Тюнечка']
340,Артюха,['Артюша']
341,Артя,"['Артечка', 'Артенька']"
342,Матя,"['Матечка', 'Матюнечка']"
343,Митюша,['Митюшечка']
344,Матей,['Матеюшка']
345,Мира,['Мирушка']
346,Михай,['Михайка']
347,Миня,['Минечка']
348,Миха,['Миша']
349,Горя,['Горенька']
350,Иляха,['Иляша']
351,Иваха,['Иваша']
352,Люня,['Люнечка']
353,Люля,"['Люлечка', 'Люленька']"
354,Степаша,"['Степашечка', 'Степашуля', 'Степашулечка', 'Степашулик', 'Степашуленька', 'Степашутка', 'Степашуточка']"
355,Степуха,['Степуша']
356,Марго,"['Маргоша', 'Маргошечка', 'Маргошенька']"
357,Любава,['Любавушка']
358,Макар,"['Макарушка', 'Макарик']"
359,Сюня,['Сюнечка']
360,Ксеша,['Ксешечка']
361,Маря,"['Маречка', 'Маренька', 'Марюшка', 'Марюша']"
362,Рена,"['Реночка', 'Ренуля']"
363,Матрёха,['Матрёша']
364,Мотя,['Мотенька']
365,Юся,['Юсечка']
366,Юстя,['Юстечка']
367,Марфута,['Марфутечка']
368,Марфуха,['Марфуша']
369,Марга,['Маргуня']
370,Туся,"['Тусенька', 'Тусечка', 'Тусик', 'Тусюшка']"
371,Ритуша,"['Ритушенька', 'Ритушечка']"
372,Мага,"['Магонька', 'Магочка']"
373,Ритоха,['Ритоша']
374,Алюня,['Алюнюшка']
375,Ела,['Елочка']
376,Гелина,['Гелиночка']
377,Веруха,['Веруша']
378,Веруля,"['Веруленька', 'Веруля', 'Верулечка', 'Верулик', 'Верутка', 'Веруточка']"
379,Ида,['Идочка']
380,Арюха,['Арюшечка']
381,Фёкла,['Фёклушка']
382,Флёра,['Флёрочка']
383,Фева,['Февочка']
384,Лиана,['Лианочка']
385,Тамуна,['Тамуночка']
386,Енюха,['Енюша']
387,Тата,"['Таточка', 'Татонька']"
388,Танюта,['Танютенька']
389,Тая,['Таюшка']
390,Дора,['Дорочка']
391,Ина,['Инуля']
392,Кируша,"['Кирушечка', 'Кирушенька']"
393,Яра,['Ярочка']
394,Ава,['Авочка']
395,Клаша,"['Клашечка', 'Клашуля', 'Клашулечка', 'Клашулик', 'Клашуленька', 'Клашутка', 'Клашуточка']"
396,Клаха,['Клаша']
397,Мося,['Мосенька']
398,Ия,['Иечка']
399,Зося,['Зосечка']
400,Лизута,['Лизуточка']
401,Вета,['Веточка']
402,Пора,['Порушка']
403,Параха,['Параша']
404,Рима,['Римуля']
405,Ока,['Окочка']
406,Брина,['Бриша']
407,Нита,['Ниточка']
408,Нинура,['Нинурочка']
409,Нинона,['Ниноночка']
410,Ниноха,['Ниноша']
411,Оляня,['Олянечка']
412,Лёна,['Лёночка']
413,Оляша,['Оляшенька']
414,Марися,['Марисечка']
415,Никуша,['Никушенька']
416,Рона,['Ронушка']
417,Роня,['Ронечка']
418,Варюха,['Варюша']
419,Аря,['Аречка']
420,Ара,['Арочка']
421,Лека,['Леконька']
422,Физа,['Физочка']
423,Сюта,['Сюточка']
424,Васяня,['Васянечка']
425,Васа,['Васонька']
426,Васеня,['Васенечка']
427,Васята,['Васятечка']
428,Лекса,['Лексонька']
429,Алексаха,['Алексаша']
430,Александра,['Александрушка']
431,Грипа,['Грипонька']
432,Грапа,['Грапонька']
433,Груня,['Груняша']
434,Буся,"['Бусечка', 'Бусик', 'Бусенька', 'Бусюшка']"
435,Ная,['Наечка']
436,Нана,['Наночка']
437,Нета,['Нетуля']
438,Ала,['Аленька']
439,Натаха,['Наташа']
440,Таля,['Таленька']
441,Линуша,['Линушечка']
442,Виктор,['Викторушка']
443,Эдя,['Эдечка']
444,Юка,['Юконька']
445,Юша,['Юшечка']
446,Люка,['Люкочка']
447,Юня,['Юнечка']
448,Юна,['Юночка']
449,Юла,['Юлочка']
450,Пана,"['Паночка', 'Панулька']"
451,Сона,['Сонушка']
452,Дарья,"['Даруня', 'Дарёна', 'Дарьюшка', 'Дарьюша']"
453,Дара,['Дарушка']
454,Лёся,['Лёсечка']
455,Леся,"['Лесенька','Лесечка']"
456,Елюша,"['Елюшенька','Елюшечка']"
457,Еля,"['Елюшка','Елечка','Еленька']"
458,Надея,['Надеечка']
459,Галатея,"['Галатеечка', 'Галатеюшка']"
460,Лёха,"['Лёша', 'Лёшечка', 'Лёшенька']"
461,Надиша,"['Надишечка', 'Надишенька', 'Надишуля', 'Надишулечка', 'Надишулик', 'Надишуленька', 'Надишутка', 'Надишуточка']"
462,Надюся,['Надюсенька']
463,Липа,"['Липочка', 'Липушка']"
464,Ися,"['Исенька', 'Исечка']"
465,Регина,"['Регинушка', 'Региночка']"
466,Фина,['Финочка']
467,Хасан,"['Хасанчик', 'Хасанушка']"
468,Енюта,['Енютечка']
469,Еняша,['Еняшечка']
470,Хавроша,['Хаврошечка']
471,Нюня,['Нюнечка']
472,Иса,['Исонька']
473,Мута,['Мутечка']
474,Машука,['Машуконька']
475,Иня,['Инюшка']
476,Киря,"['Киренька', 'Киречка']"
477,Ким,['Кимушка']
478,Копа,['Копочка']
479,Тиша,"['Тишечка', 'Тишенька', 'Тишуля', 'Тишулечка', 'Тишулик', 'Тишуленька', 'Тишутка', 'Тишуточка']"
480,Тиха,['Тиша']
481,Тихоша,['Тихошенька']
482,Труха,['Труша']
483,Труша,['Трушечка']
484,Трифаха,['Трифахочка']
485,Дрон,['Дронушка']
486,Зоня,['Зонюшка']
487,Денис,['Дениска']
488,Гема,['Гемочка']
489,Герма,['Гермончик']
490,Ротя,['Ротяшка']
491,Дорофея,['Дорофеечка']
492,Камея,['Камеечка']
493,Наиля,['Наилечка']
494,Ния,['Ниечка']
495,Агния,['Агниюшка']
496,Дёма,['Дёмочка']
497,Гора,['Горочка']
498,Гриня,['Гринюшка']
499,Памила,['Памилочка']
500,Оливия,['Оливушка']
501,Олива,['Оливочка']
502,Ива,"['Ивушка', 'Ивочка']"
503,Дива,['Дивочка']
504,Ивета,['Иветуля']
505,Ванга,"['Вангуля', 'Вангушка']"
506,Люха,['Люша']
507,Фаддей,['Фаддейка']
508,Ермолай,['Ермолайчик']
509,Исай,['Исаюшка']
510,Ермак,['Ермакушка']
511,Ермола,['Ермолочка']
512,Корней,['Корнеюшка']
513,Елисей,['Елисеюшка']
514,Моисей,['Моисейка']
515,Гордей,['Гордейка']
516,Федяка,['Федяшечка']
517,Дуся,"['Дусечка', 'Дусик', 'Дусенька', 'Дусюшка']"
518,Славуня,['Славунечка']
519,Сива,['Сивочка']
520,Сила,['Силушка']
521,Селя,['Селечка']
522,Митра,['Митрушка']
523,Митрюша,['Митрюшик']
524,Трофим,['Трофимка']
525,Лёка,['Лёкочка']
526,Лега,['Леша']
527,Вега,['Вежик']
528,Анися,['Анисечка']
529,Никиха,['Никиша']
530,Мелеша,['Мелешечка']
531,Никанор,['Никанорушка']
532,Максюта,['Максюшенька']
533,Антя,['Антечка']
534,Антоха,['Антоша']
535,Арса,['Арсончик']
536,Арсен,['Арсенушка']
537,Стива,['Стивуша']
538,Лёля,"['Лёлик', 'Лёлечка', 'Лёленька']"
539,Бера,['Беруня']
540,Авдя,"['Авденька', 'Авдечка', 'Авдюша']"
541,Лавр,['Лавруша']
542,Лавря,"['Лавренька', 'Лавречка']"
543,Леон,"['Леончик', 'Леонушка']"
544,Алексей,"['Алексейка', 'Алексеюшка']"
545,Тотя,"['Тотенька', 'Тотечка']"
546,Натоха,['Натоша']
547,Роха,['Роша']
548,Сафа,['Сафочка']
549,Сашуха,"['Сашута', 'Сашутка']"
550,Санюра,['Санюрчик']
551,Геха,['Геша']
552,Доня,['Донечка']
553,Созон,['Созонушка']
554,Евдя,['Евденька']
555,Евдоха,['Евдоша']
556,Николаша,"['Николашенька', 'Николашуля', 'Николашулечка', 'Николашулик', 'Николашуленька', 'Николашутка', 'Николашуточка']"
557,Коляха,['Коляша']
558,Лидуха,['Лидуша']
559,Фая,"['Фаюшка', 'Фаечка']"
560,Меля,['Меленька']
561,Графа,['Графуня']
562,Граша,"['Грашулик', 'Грашуля', 'Грашулечка', 'Грашуленька', 'Грашутка', 'Грашуточка']"
563,Машуха,['Машута']
564,Стаха,['Сташенька']
565,Купря,['Куречка']
566,Вёла,['Вёлочка']
567,Варлаха,['Варлаша']
568,Пахом,['Пахомушка']
569,Светуха,['Светуся']
570,Света,"['Светушка', 'Светик']"
571,Федяха,['Федяша']
572,Сера,['Серуня']
573,Тимур,['Тимурчик']
574,Ляна,['Лянушка']
575,Таюха,['Таюша']
576,Таися,['Таисенька']
577,Неся,['Несенька']
578,Куня,['Кунечка']
579,Гася,"['Гасечка', 'Гасик', 'Гасенька', 'Гасюшка']"
580,Линуха,['Линуша']
581,Пиня,['Пинечка']
582,Мартин,['Мартиня']
583,Аннуся,"['Аннусенька', 'Аннусечка', 'Аннусик', 'Аннусюшка']"
584,Дия,['Диечка']
585,Зая,['Заечка']
586,Мика,['Микуля']
587,Муша,['Мушенька']
588,Марюта,"['Марюша','Марюшенька','Марюшечка']"
589,Муля,"['Муленька', 'Муля', 'Мулечка', 'Мулик', 'Мутка', 'Муточка']"
590,Зоюха,['Зоюша']
591,Грика,['Грикуня']
592,Гришко,['Гришконя']
593,Гриха,['Гриша']
594,Стеня,"['Стенюша', 'Стенюшка']"
595,Прова,['Провик']
596,Вяча,['Вяченька']
597,Лодя,"['Лодик', 'Лодечка', 'Лоденька']"
598,Клася,"['Класенька', 'Класечка', 'Класик', 'Класюшка']"
599,Митяй,['Митяйка']
600,Димаха,['Димаша']
601,Генюля,['Генюлечка']
602,Генуся,"['Генусечка', 'Генусик', 'Генусенька', 'Генусюшка']"
603,Паня,['Панюшка']
604,Эраст,['Эрастик']
605,Рося,['Росик']
606,Даря,['Даречка']
607,Ноня,['Нонечка']
608,Моря,['Морюшка']
609,Гела,"['Гелюня', 'Гелюшка', 'Гелочка', 'Гелушка']"
610,Настёха,['Настёна']
611,Нида,['Нидушка']
612,Аксюха,['Аксюта']
613,Ванесса,['Ванессочка']
614,Мелисса,['Мелиссонька']
615,Иоланта,"['Иоланточка', 'Иолантик', 'Иолантушка']"
616,Санта,"['Сантик', 'Сантушка', 'Санточка']"
617,Юзефа,['Юзефочка']
618,Юзеф,['Юзефик']
619,Амаль,['Амаленька']
620,Текла,['Теклочка']
621,Трифа,['Трифочка']
622,Линда,"['Линдушка', 'Линдочка']"
623,Магда,"['Магдушка', 'Магдочка']"
624,Изольда,"['Изольдушка', 'Изольдочка']"
625,Амалия,['Амалечка']
626,Амэла,['Амэлочка']
627,Еря,['Еречка']
628,Дороха,['Дорошечка']
629,Зиня,['Зинюшка']
630,Клавдя,['Клавдюха']
631,Татуля,"['Татулик', 'Татуля', 'Татулечка', 'Татуленька', 'Татутка', 'Татуточка']"
632,Ульяха,['Ульяша']
633,Алана,['Аланочка']
634,Дайна,['Дайночка']
635,Зарина,['Зариночка']
636,Свята,['Святик']
637,Адам,"['Адамчик', 'Адамушка']"
638,Натоля,"['Натоленька', 'Натолечка', 'Натолик', 'Натолюшка']"
639,Николя,"['Николюшка', 'Николечка', 'Николик', 'Николенька']"
640,Ивона,['Ивоночка']
641,Мартина,['Мартиночка']
642,Агафа,['Агафочка']
643,Катёна,['Катёнушка']
644,Измаил,['Измаилушка']
645,Никола,"['Николенька', 'Николечка', 'Николушка']"
646,Лукьян,['Лукьянушка']
647,Глория,['Глоренька']
648,Эрна,['Эрночка']
649,Леда,['Ледочка']
650,Ванеса,['Ванесочка']
651,Михайло,['Михайлушка']
652,Остах,"['Осташа', 'Остахочка']"
653,Агля,['Аглечка']
654,Руда,['Руденька']
655,Раул,['Раулочка']
656,Рудя,['Рудечка']
